DATETIMEDATA,prediction_label
2024-02-28,18.142800044059754
2024-02-29,18.75460000801087
2024-03-01,18.364800129890444
2024-03-02,17.732400166511535
2024-03-03,18.174600169181822
2024-03-04,21.072700269699098
2024-03-05,20.94750018978119
2024-03-06,20.022400120735167
2024-03-07,20.142900128364566
2024-03-08,19.9380001335144
2024-03-09,20.37550014400482
2024-03-10,20.629500205039978
2024-03-11,20.87590021419525
2024-03-12,21.22150025177002
2024-03-13,20.945400297164916
2024-03-14,20.472000205039976
2024-03-15,19.313900099754335
2024-03-16,19.287000160217286
2024-03-17,19.372700191617014
2024-03-18,18.08150009357929
2024-03-19,16.282863933059904
2024-03-20,15.978657661874939
2024-03-21,14.94339533092923
2024-03-22,12.592559063391253
2024-03-23,12.710199944972993
2024-03-24,13.301499994277956
2024-03-25,14.876400148391724
2024-03-26,17.53650005626678
2024-03-27,17.80150007534027
2024-03-28,18.142800044059754
2024-03-29,18.75460000801087
