Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
83.0,2023-12-04 11:00:00,7.3,1,32.0,58.0,143.0,44t
84.0,2023-12-04 12:00:00,6.5,1,33.0,57.0,146.0,44t
85.0,2023-12-04 13:00:00,7.2,1,33.0,57.0,150.0,44t
86.0,2023-12-04 14:00:00,5.5,1,32.0,61.0,166.0,44t
87.0,2023-12-04 15:00:00,4.5,2,31.0,67.0,218.0,44t
88.0,2023-12-04 16:00:00,6.8,1,29.0,74.0,147.0,44t
89.0,2023-12-04 17:00:00,8.8,1,29.0,77.0,150.0,44t
90.0,2023-12-04 18:00:00,7.9,1,28.0,79.0,117.0,44t
91.0,2023-12-04 19:00:00,10.7,1,28.0,79.0,107.0,44t
92.0,2023-12-04 20:00:00,10.1,1,28.0,81.0,118.0,44t
93.0,2023-12-04 21:00:00,9.9,1,28.0,82.0,109.0,44t
94.0,2023-12-04 22:00:00,8.9,1,28.0,81.0,95.0,44t
95.0,2023-12-04 23:00:00,9.3,1,28.0,82.0,98.0,44t
96.0,2023-12-05 00:00:00,8.1,1,27.0,83.0,87.0,44t
97.0,2023-12-05 01:00:00,8.8,1,27.0,82.0,99.0,44t
98.0,2023-12-05 02:00:00,8.6,0,27.0,83.0,108.0,44t
99.0,2023-12-05 03:00:00,6.7,0,27.0,84.0,114.0,44t
100.0,2023-12-05 04:00:00,6.4,1,27.0,86.0,112.0,44t
101.0,2023-12-05 05:00:00,9.0,0,27.0,87.0,108.0,44t
102.0,2023-12-05 06:00:00,8.4,0,27.0,89.0,111.0,44t
103.0,2023-12-05 07:00:00,10.0,1,28.0,82.0,114.0,44t
104.0,2023-12-05 08:00:00,7.5,1,29.0,75.0,100.0,44t
105.0,2023-12-05 09:00:00,12.4,1,30.0,72.0,107.0,44t
106.0,2023-12-05 10:00:00,11.4,1,31.0,65.0,131.0,44t
107.0,2023-12-05 11:00:00,9.7,1,32.0,59.0,125.0,44t
108.0,2023-12-05 12:00:00,8.6,1,32.0,58.0,170.0,44t
109.0,2023-12-05 13:00:00,10.4,1,32.0,59.0,197.0,44t
110.0,2023-12-05 14:00:00,9.1,1,31.0,61.0,151.0,44t
111.0,2023-12-05 15:00:00,5.4,1,31.0,65.0,143.0,44t
112.0,2023-12-05 16:00:00,10.2,1,30.0,69.0,141.0,44t
113.0,2023-12-05 17:00:00,10.6,1,29.0,74.0,125.0,44t
114.0,2023-12-05 18:00:00,10.8,1,28.0,79.0,110.0,44t
115.0,2023-12-05 19:00:00,16.7,0,28.0,81.0,108.0,44t
116.0,2023-12-05 20:00:00,19.2,0,28.0,83.0,109.0,44t
117.0,2023-12-05 21:00:00,20.1,1,27.0,87.0,107.0,44t
118.0,2023-12-05 22:00:00,20.4,1,27.0,92.0,106.0,44t
119.0,2023-12-05 23:00:00,13.8,0,26.0,97.0,106.0,44t
120.0,2023-12-06 00:00:00,13.3,0,26.0,97.0,112.0,44t
121.0,2023-12-06 01:00:00,12.3,0,26.0,96.0,112.0,44t
122.0,2023-12-06 02:00:00,13.9,0,26.0,97.0,111.0,44t
123.0,2023-12-06 03:00:00,11.2,0,26.0,96.0,111.0,44t
124.0,2023-12-06 04:00:00,10.4,0,25.0,96.0,107.0,44t
125.0,2023-12-06 05:00:00,12.9,0,25.0,97.0,108.0,44t
126.0,2023-12-06 06:00:00,14.4,0,25.0,98.0,103.0,44t
127.0,2023-12-06 07:00:00,18.5,0,26.0,96.0,111.0,44t
128.0,2023-12-06 08:00:00,19.2,1,28.0,82.0,116.0,44t
129.0,2023-12-06 09:00:00,11.3,1,30.0,72.0,127.0,44t
130.0,2023-12-06 10:00:00,9.6,1,31.0,60.0,129.0,44t
131.0,2023-12-06 11:00:00,16.0,1,32.0,58.0,166.0,44t
132.0,2023-12-06 12:00:00,8.4,1,32.0,59.0,139.0,44t
133.0,2023-12-06 13:00:00,7.4,1,32.0,55.0,131.0,44t
