DATETIMEDATA,prediction_label
2024-02-28,123.03104565873772
2024-02-29,129.13461934892072
2024-03-01,148.52154913702515
2024-03-02,146.25486342853725
2024-03-03,146.13217082967557
2024-03-04,141.34848234535568
2024-03-05,141.39224260669252
2024-03-06,143.82941887539604
2024-03-07,149.36563607663655
2024-03-08,143.87640223930424
2024-03-09,143.93398394717144
2024-03-10,145.16942711238147
2024-03-11,148.03601305182505
2024-03-12,157.8966683059959
2024-03-13,154.66687481960136
2024-03-14,167.94525026650223
2024-03-15,166.09667337502344
2024-03-16,150.75120568793318
2024-03-17,151.67367153310616
2024-03-18,139.34707503090158
2024-03-19,134.0346004147779
2024-03-20,129.9727029850197
2024-03-21,128.63735352021462
2024-03-22,132.60937050929977
2024-03-23,129.8831971861247
2024-03-24,121.65876137881693
2024-03-25,126.79001935180528
2024-03-26,124.01351872989453
2024-03-27,117.72468624246578
2024-03-28,123.03104565873772
2024-03-29,129.13461934892072
